Stopword;Language;English translation;Needed in your language;Remove it from my language stopword list;Why? English comment/translation
de;DUTCH;the;;;
en;DUTCH;and;;;
van;DUTCH;of, from;yes;;principal meaning : trailer, fan
ik;DUTCH;I, the ego;;;
te;DUTCH;(1) chez, at etc, (2) to, (3) too;;;
dat;DUTCH;that, which;;;
die;DUTCH;that, those, who, which;;;
in;DUTCH;in, inside;;;
een;DUTCH;a, an, one;;;
hij;DUTCH;he;;;
het;DUTCH;the, it;;;
niet;DUTCH;not, nothing, naught;;;
zijn;DUTCH;(1) to be, being, (2) his, one's, its;;;
is;DUTCH;is;;;
was;DUTCH;(1) was, past tense of all persons sing. of 'zijn' (to be) (2) wax, (3) the washing, (4) rise of river;;;
op;DUTCH;on, upon, at, in, up, used up;;;
aan;DUTCH;on, upon, to (as dative);;;
met;DUTCH;with, by;;;
als;DUTCH;like, such as, when;;;
voor;DUTCH;(1) before, in front of, (2) furrow;;;
had;DUTCH;had, past tense all persons sing. of 'hebben' (have);;;
er;DUTCH;there;;;
maar;DUTCH;but, only;;;
om;DUTCH;round, about, for etc;;;
hem;DUTCH;him;;;
dan;DUTCH;then;;;
zou;DUTCH;should/would, past tense all persons sing. of 'zullen';;;
of;DUTCH;or, whether, if;;;
wat;DUTCH;what, something, anything;;;
mijn;DUTCH;possessive and noun 'mine';;;
men;DUTCH;people, 'one';;;
dit;DUTCH;this;;;
zo;DUTCH;so, thus, in this way;;;
door;DUTCH;through by;;;
over;DUTCH;over, across;;;
ze;DUTCH;she, her, they, them;;;
zich;DUTCH;oneself;;;
bij;DUTCH;(1) a bee, (2) by, near, at;;;
ook;DUTCH;also, too;;;
tot;DUTCH;till, until;;;
je;DUTCH;you;;;
mij;DUTCH;me;;;
uit;DUTCH;out of, from;;;
der;DUTCH;Old Dutch form of 'van der' still found in surnames;;;
daar;DUTCH;(1) there, (2) because;;;
haar;DUTCH;(1) her, their, them, (2) hair;;;
naar;DUTCH;(1) unpleasant, unwell etc, (2) towards, (3) as;;;
heb;DUTCH;present first person sing. of 'to have';;;
hoe;DUTCH;how, why;;;
heeft;DUTCH;present third person sing. of 'to have';;;
hebben;DUTCH;'to have' and various parts thereof;;;
deze;DUTCH;this;;;
u;DUTCH;you;;;
want;DUTCH;(1) for, (2) mitten, (3) rigging;;;
nog;DUTCH;yet, still;;;
zal;DUTCH;'shall', first and third person sing. of verb 'zullen' (will);;;
me;DUTCH;me;;;
zij;DUTCH;she, they;;;
nu;DUTCH;now;;;
ge;DUTCH;'thou', still used in Belgium and south Netherlands;;;
geen;DUTCH;none;;;
omdat;DUTCH;because;;;
iets;DUTCH;something, somewhat;;;
worden;DUTCH;to become, grow, get;;;
toch;DUTCH;yet, still;;;
al;DUTCH;all, every, each;yes;;part of arab names such as Al Mansur or Al Ghazi
waren;DUTCH;(1) 'were' (2) to wander, (3) wares, (3);;;
veel;DUTCH;much, many;;;
meer;DUTCH;(1) more, (2) lake;;;
doen;DUTCH;to do, to make;;;
toen;DUTCH;then, when;;;
moet;DUTCH;noun 'spot/mote' and present form of 'to must';;;
ben;DUTCH;(1) am, (2) 'are' in interrogative second person singular of 'to be';;;
zonder;DUTCH;without;;;
kan;DUTCH;noun 'can' and present form of 'to be able';;;
hun;DUTCH;their, them;yes;;hun (you know Attila etc.)
dus;DUTCH;so, consequently;;;
alles;DUTCH;all, everything, anything;;;
onder;DUTCH;under, beneath;;;
ja;DUTCH;yes, of course;;;
eens;DUTCH;once, one day;;;
hier;DUTCH;here;yes (probably);;yesterday
wie;DUTCH;who;;;
werd;DUTCH;imperfect third person sing. of 'become';;;
altijd;DUTCH;always;;;
doch;DUTCH;yet, but etc;;;
wordt;DUTCH;present third person sing. of 'become';;;
wezen;DUTCH;(1) to be, (2) 'been' as in 'been fishing', (3) orphans;;;
kunnen;DUTCH;to be able;;;
ons;DUTCH;us/our;;;
zelf;DUTCH;self;;;
tegen;DUTCH;against, towards, at;;;
na;DUTCH;after, near;;;
reeds;DUTCH;already;;;
wil;DUTCH;(1) present tense of 'want', (2) 'will', noun, (3) fender;;;
kon;DUTCH;could, past tense of 'to be able';;;
niets;DUTCH;nothing;;;
uw;DUTCH;your;;;
iemand;DUTCH;somebody;;;
geweest;DUTCH;been, past participle of 'be';;;
andere;DUTCH;other;;;
i;ENGLISH;subject, always in upper case of course;;;
me;ENGLISH;object;;;
my;ENGLISH;possessive adjective;;;
myself;ENGLISH;reflexive;;;
we;ENGLISH;subject;;;
our;ENGLISH;possessive adjective;;;
ours;ENGLISH;possessive pronoun;yes;;bear
ourselves;ENGLISH;reflexive;;;
you;ENGLISH;subject and object;;;
your;ENGLISH;possessive adjective;;;
yours;ENGLISH;possessive pronoun;;;
yourself;ENGLISH;reflexive (singular);;;
yourselves;ENGLISH;reflexive (plural);;;
he;ENGLISH;subject;;;
him;ENGLISH;object;;;
his;ENGLISH;possessive adjective and pronoun;;;
himself;ENGLISH;reflexive;;;
she;ENGLISH;subject;;;
her;ENGLISH;object and possessive adjective;;;
hers;ENGLISH;possessive pronoun;;;
herself;ENGLISH;reflexive;;;
it;ENGLISH;subject and object;;;
its;ENGLISH;possessive adjective;;;
itself;ENGLISH;reflexive;;;
they;ENGLISH;subject;;;
them;ENGLISH;object;;;
their;ENGLISH;possessive adjective;;;
theirs;ENGLISH;possessive pronoun;;;
themselves;ENGLISH;reflexive;;;
what;ENGLISH;;;;
which;ENGLISH;;;;
who;ENGLISH;;;;
whom;ENGLISH;;;;
this;ENGLISH;;;;
that;ENGLISH;;;;
these;ENGLISH;;;;
those;ENGLISH;;;;
am;ENGLISH;1st person, present;;;
is;ENGLISH;-s form (3rd person, present);;;
are;ENGLISH;present;yes;;unit of measurement (100 square meters)
was;ENGLISH;1st person, past;;;
were;ENGLISH;past;;;
be;ENGLISH;infinitive;;;
been;ENGLISH;past participle;;;
being;ENGLISH;-ing form;;;
have;ENGLISH;simple;;;
has;ENGLISH;-s form;;;
had;ENGLISH;past;;;
having;ENGLISH;-ing form;;;
do;ENGLISH;simple;yes;;in music, note C
does;ENGLISH;-s form;;;
did;ENGLISH;past;;;
doing;ENGLISH;-ing form;;;
would;ENGLISH;;;;
should;ENGLISH;;;;
could;ENGLISH;;;;
ought;ENGLISH;;;;
i'm;ENGLISH;;;;
you're;ENGLISH;;;;
he's;ENGLISH;;;;
she's;ENGLISH;;;;
it's;ENGLISH;;;;
we're;ENGLISH;;;;
they're;ENGLISH;;;;
i've;ENGLISH;;;;
you've;ENGLISH;;;;
we've;ENGLISH;;;;
they've;ENGLISH;;;;
i'd;ENGLISH;;;;
you'd;ENGLISH;;;;
he'd;ENGLISH;;;;
she'd;ENGLISH;;;;
we'd;ENGLISH;;;;
they'd;ENGLISH;;;;
i'll;ENGLISH;;;;
you'll;ENGLISH;;;;
he'll;ENGLISH;;;;
she'll;ENGLISH;;;;
we'll;ENGLISH;;;;
they'll;ENGLISH;;;;
isn't;ENGLISH;;;;
aren't;ENGLISH;;;;
wasn't;ENGLISH;;;;
weren't;ENGLISH;;;;
hasn't;ENGLISH;;;;
haven't;ENGLISH;;;;
hadn't;ENGLISH;;;;
doesn't;ENGLISH;;;;
don't;ENGLISH;;;;
didn't;ENGLISH;;;;
won't;ENGLISH;;;;
wouldn't;ENGLISH;;;;
shan't;ENGLISH;;;;
shouldn't;ENGLISH;;;;
can't;ENGLISH;;;;
cannot;ENGLISH;;;;
couldn't;ENGLISH;;;;
mustn't;ENGLISH;;;;
let's;ENGLISH;;;;
that's;ENGLISH;;;;
who's;ENGLISH;;;;
what's;ENGLISH;;;;
here's;ENGLISH;;;;
there's;ENGLISH;;;;
when's;ENGLISH;;;;
where's;ENGLISH;;;;
why's;ENGLISH;;;;
how's;ENGLISH;;;;
a;ENGLISH;;;;
an;ENGLISH;;yes;;means year
the;ENGLISH;;;;
and;ENGLISH;;;;
but;ENGLISH;;yes;;means goal
if;ENGLISH;;yes;;kind of tree
or;ENGLISH;;yes;;means gold
because;ENGLISH;;;;
as;ENGLISH;;yes;;means ace
until;ENGLISH;;;;
while;ENGLISH;;;;
of;ENGLISH;;;;
at;ENGLISH;;;;
by;ENGLISH;;;;
for;ENGLISH;;;;
with;ENGLISH;;;;
about;ENGLISH;;;;
against;ENGLISH;;;;
between;ENGLISH;;;;
into;ENGLISH;;;;
through;ENGLISH;;;;
during;ENGLISH;;;;
before;ENGLISH;;;;
after;ENGLISH;;;;
above;ENGLISH;;;;
below;ENGLISH;;;;
to;ENGLISH;;;;
from;ENGLISH;;;;
up;ENGLISH;;;;
down;ENGLISH;;;;
in;ENGLISH;;;;
out;ENGLISH;;;;
on;ENGLISH;;;;
off;ENGLISH;;;;
over;ENGLISH;;;;
under;ENGLISH;;;;
again;ENGLISH;;;;
further;ENGLISH;;;;
then;ENGLISH;;;;
once;ENGLISH;;yes;;unit of measurement (ounce) and sort of panther 
here;ENGLISH;;;;
there;ENGLISH;;;;
when;ENGLISH;;;;
where;ENGLISH;;;;
why;ENGLISH;;;;
how;ENGLISH;;;;
all;ENGLISH;;;;
any;ENGLISH;;;;
both;ENGLISH;;;;
each;ENGLISH;;;;
few;ENGLISH;;;;
more;ENGLISH;;yes (probably);;more is a synonym of maure, means moor or moorish
most;ENGLISH;;;;
other;ENGLISH;;;;
some;ENGLISH;;;;
such;ENGLISH;;;;
no;ENGLISH;;;;
nor;ENGLISH;;;;
not;ENGLISH;;;;
only;ENGLISH;;;;
own;ENGLISH;;;;
same;ENGLISH;;;;
so;ENGLISH;;;;
than;ENGLISH;;;;
too;ENGLISH;;;;
very;ENGLISH;;;;
olla;FINNISH;;;;
olen;FINNISH;;;;
olet;FINNISH;;;;
on;FINNISH;;;;
olemme;FINNISH;;;;
olette;FINNISH;;;;
ovat;FINNISH;;;;
ole;FINNISH;negative form;;;
oli;FINNISH;;;;
olisi;FINNISH;;;;
olisit;FINNISH;;;;
olisin;FINNISH;;;;
olisimme;FINNISH;;;;
olisitte;FINNISH;;;;
olisivat;FINNISH;;;;
olit;FINNISH;;;;
olin;FINNISH;;;;
olimme;FINNISH;;;;
olitte;FINNISH;;;;
olivat;FINNISH;;;;
ollut;FINNISH;;;;
olleet;FINNISH;;;;
en;FINNISH;negation;yes (probably);;frequent in name places such as Roissy-en-France
et;FINNISH;;;;
ei;FINNISH;;;;
emme;FINNISH;;;;
ette;FINNISH;;;;
eivät;FINNISH;;;;
minä;FINNISH;I;;;
minun;FINNISH;I;;;
minut;FINNISH;I;;;
minua;FINNISH;I;;;
minussa;FINNISH;I;;;
minusta;FINNISH;I;;;
minuun;FINNISH;I;;;
minulla;FINNISH;I;;;
minulta;FINNISH;I;;;
minulle;FINNISH;I;;;
sinä;FINNISH;you;;;
sinun;FINNISH;you;;;
sinut;FINNISH;you;;;
sinua;FINNISH;you;;;
sinussa;FINNISH;you;;;
sinusta;FINNISH;you;;;
sinuun;FINNISH;you;;;
sinulla;FINNISH;you;;;
sinulta;FINNISH;you;;;
sinulle;FINNISH;you;;;
hän;FINNISH;he she;;;
hänen;FINNISH;he she;;;
hänet;FINNISH;he she;;;
häntä;FINNISH;he she;;;
hänessä;FINNISH;he she;;;
hänestä;FINNISH;he she;;;
häneen;FINNISH;he she;;;
hänellä;FINNISH;he she;;;
häneltä;FINNISH;he she;;;
hänelle;FINNISH;he she;;;
me;FINNISH;we;;;
meidän;FINNISH;we;;;
meidät;FINNISH;we;;;
meitä;FINNISH;we;;;
meissä;FINNISH;we;;;
meistä;FINNISH;we;;;
meihin;FINNISH;we;;;
meillä;FINNISH;we;;;
meiltä;FINNISH;we;;;
meille;FINNISH;we;;;
te;FINNISH;you;;;
teidän;FINNISH;you;;;
teidät;FINNISH;you;;;
teitä;FINNISH;you;;;
teissä;FINNISH;you;;;
teistä;FINNISH;you;;;
teihin;FINNISH;you;;;
teillä;FINNISH;you;;;
teiltä;FINNISH;you;;;
teille;FINNISH;you;;;
he;FINNISH;they;;;
heidän;FINNISH;they;;;
heidät;FINNISH;they;;;
heitä;FINNISH;they;;;
heissä;FINNISH;they;;;
heistä;FINNISH;they;;;
heihin;FINNISH;they;;;
heillä;FINNISH;they;;;
heiltä;FINNISH;they;;;
heille;FINNISH;they;;;
tämä;FINNISH;this;;;
tämän;FINNISH;this;;;
tätä;FINNISH;this;;;
tässä;FINNISH;this;;;
tästä;FINNISH;this;;;
tähän;FINNISH;this;;;
tallä;FINNISH;this;;;
tältä;FINNISH;this;;;
tälle;FINNISH;this;;;
tänä;FINNISH;this;;;
täksi;FINNISH;this;;;
tuo;FINNISH;that;;;
tuon;FINNISH;that;;;
tuotä;FINNISH;that;;;
tuossa;FINNISH;that;;;
tuosta;FINNISH;that;;;
tuohon;FINNISH;that;;;
tuolla;FINNISH;that;;;
tuolta;FINNISH;that;;;
tuolle;FINNISH;that;;;
tuona;FINNISH;that;;;
tuoksi;FINNISH;that;;;
se;FINNISH;it;;;
sen;FINNISH;it;;;
sitä;FINNISH;it;;;
siinä;FINNISH;it;;;
siitä;FINNISH;it;;;
siihen;FINNISH;it;;;
sillä;FINNISH;it;;;
siltä;FINNISH;it;;;
sille;FINNISH;it;;;
sinä;FINNISH;it;;;
siksi;FINNISH;it;;;
nämä;FINNISH;these;;;
näiden;FINNISH;these;;;
näitä;FINNISH;these;;;
näissä;FINNISH;these;;;
näistä;FINNISH;these;;;
näihin;FINNISH;these;;;
näillä;FINNISH;these;;;
näiltä;FINNISH;these;;;
näille;FINNISH;these;;;
näinä;FINNISH;these;;;
näiksi;FINNISH;these;;;
nuo;FINNISH;those;;;
noiden;FINNISH;those;;;
noita;FINNISH;those;;;
noissa;FINNISH;those;;;
noista;FINNISH;those;;;
noihin;FINNISH;those;;;
noilla;FINNISH;those;;;
noilta;FINNISH;those;;;
noille;FINNISH;those;;;
noina;FINNISH;those;;;
noiksi;FINNISH;those;;;
ne;FINNISH;they;;;
niiden;FINNISH;they;;;
niitä;FINNISH;they;;;
niissä;FINNISH;they;;;
niistä;FINNISH;they;;;
niihin;FINNISH;they;;;
niillä;FINNISH;they;;;
niiltä;FINNISH;they;;;
niille;FINNISH;they;;;
niinä;FINNISH;they;;;
niiksi;FINNISH;they;;;
kuka;FINNISH;who;;;
kenen;FINNISH;who;;;
kenet;FINNISH;who;;;
ketä;FINNISH;who;;;
kenessä;FINNISH;who;;;
kenestä;FINNISH;who;;;
keneen;FINNISH;who;;;
kenellä;FINNISH;who;;;
keneltä;FINNISH;who;;;
kenelle;FINNISH;who;;;
kenenä;FINNISH;who;;;
keneksi;FINNISH;who;;;
ketkä;FINNISH;(pl);;;
keiden;FINNISH;(pl);;;
ketkä;FINNISH;(pl);;;
keitä;FINNISH;(pl);;;
keissä;FINNISH;(pl);;;
keistä;FINNISH;(pl);;;
keihin;FINNISH;(pl);;;
keillä;FINNISH;(pl);;;
keiltä;FINNISH;(pl);;;
keille;FINNISH;(pl);;;
keinä;FINNISH;(pl);;;
keiksi;FINNISH;(pl);;;
mikä;FINNISH;which what;;;
minkä;FINNISH;which what;;;
minkä;FINNISH;which what;;;
mitä;FINNISH;which what;;;
missä;FINNISH;which what;;;
mistä;FINNISH;which what;;;
mihin;FINNISH;which what;;;
millä;FINNISH;which what;;;
miltä;FINNISH;which what;;;
mille;FINNISH;which what;yes;;means thousand
minä;FINNISH;which what;;;
miksi;FINNISH;which what;;;
mitkä;FINNISH;(pl);;;
joka;FINNISH;who which;;;
jonka;FINNISH;who which;;;
jota;FINNISH;who which;;;
jossa;FINNISH;who which;;;
josta;FINNISH;who which;;;
johon;FINNISH;who which;;;
jolla;FINNISH;who which;;;
jolta;FINNISH;who which;;;
jolle;FINNISH;who which;;;
jona;FINNISH;who which;;;
joksi;FINNISH;who which;;;
jotka;FINNISH;(pl);;;
joiden;FINNISH;(pl);;;
joita;FINNISH;(pl);;;
joissa;FINNISH;(pl);;;
joista;FINNISH;(pl);;;
