Stopword;Language;English translation;Needed in your language;Remove it from my language stopword list;Why? English comment/translation
ang;SWEDISH;;;;
angående;SWEDISH;;;;
annan;SWEDISH;;;;
annat;SWEDISH;;;;
arkivkartong;SWEDISH;;;;
band;SWEDISH;;;;
bd;SWEDISH;;;;
bl;SWEDISH;;;;
bland;SWEDISH;;;;
box;SWEDISH;;;;
bt;SWEDISH;;;;
bunt;SWEDISH;;;;
bx;SWEDISH;;;;
delar;SWEDISH;;;;
dnr;SWEDISH;;;;
finnes;SWEDISH;;;;
finns;SWEDISH;;;;
flera;SWEDISH;;;;
fol;SWEDISH;;;;
fr;SWEDISH;;;;
före;SWEDISH;;;;
hos;SWEDISH;;;;
ht;SWEDISH;;;;
häfte;SWEDISH;;;;
häri;SWEDISH;;;;
inb;SWEDISH;;;;
inbunden;SWEDISH;;;;
ingår;SWEDISH;;;;
inneh;SWEDISH;;;;
innehåller;SWEDISH;;;;
kapsel;SWEDISH;;;;
kartong;SWEDISH;;;;
kartonger;SWEDISH;;;;
kod;SWEDISH;;;;
lev;SWEDISH;;;;
lucka;SWEDISH;;;;
nummer;SWEDISH;;;;
omfattar;SWEDISH;;;;
ordnade;SWEDISH;;;;
resp;SWEDISH;;;;
saknas;SWEDISH;;;;
samt;SWEDISH;;;;
serie;SWEDISH;;;;
serien;SWEDISH;;;;
sn;SWEDISH;;;;
st;SWEDISH;;;;
ur;SWEDISH;;;;
volym;SWEDISH;;;;
vt;SWEDISH;;;;
år;SWEDISH;;;;
åren;SWEDISH;;;;
års;SWEDISH;;;;
även;SWEDISH;;;;
att;SWEDISH;;;;
av;SWEDISH;;;;
del;SWEDISH;;;;
dess;SWEDISH;;;;
det;SWEDISH;;;;
efter;SWEDISH;;;;
ej;SWEDISH;;;;
eller;SWEDISH;;;;
ett;SWEDISH;;;;
från;SWEDISH;;;;
för;SWEDISH;;;;
har;SWEDISH;;;;
inom;SWEDISH;;;;
med;SWEDISH;;;;
nr;SWEDISH;;;;
och;SWEDISH;;;;
på;SWEDISH;;;;
som;SWEDISH;;;;
så;SWEDISH;;;;
till;SWEDISH;;;;
vol;SWEDISH;;;;
åt;SWEDISH;;;;
är;SWEDISH;;;;
dem;SWEDISH;;;;
den;SWEDISH;;;;
om;SWEDISH;;;;
in;SWEDISH;;;;
se;SWEDISH;;;;
de;SWEDISH;;;;
