Stopword;Language;English translation;Source;Reason
meine;GERMAN;;stopwords-forbidden-GE-20120107.csv;city in Germany
anders;GERMAN;;stopwords-forbidden-SW-20111107.csv|stopwords-forbidden-GE-20120107.csv;A surname|Surname
sondern;GERMAN;but;stopwords-forbidden-GE-20120107.csv;city in Germany
dazu;GERMAN;to that;stopwords-forbidden-GE-20120107.csv;Cave arch in China, which is part of UNESCO-Cultural Heritage of the World
esse;PORTUGUESE;that;stopwords-forbidden-FR-20111013.csv;means linchpin (?)
este;PORTUGUESE|SPANISH;this|this;stopwords-forbidden-FR-20111013.csv;family name
étée;FRENCH;;stopwords-forbidden-FR-20111013.csv;null
jak;POLISH;;stopwords-forbidden-SW-20111107.csv;a Yak
tanto;SPANISH;so much, many;stopwords-forbidden-PT-20110831.csv;so much, many
mein;GERMAN;my;stopwords-forbidden-GE-20120107.csv;Surname
einiges;GERMAN;;stopwords-forbidden-GE-20120107.csv;“Einiges Russland” is a party
einigen;GERMAN;;stopwords-forbidden-GE-20120107.csv;city in Switzerland
todo;SPANISH;all;stopwords-forbidden-PT-20110831.csv;all
jos;FINNISH;if;stopwords-forbidden-SW-20111107.csv;juice
manche;GERMAN;some, many a;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-GE-20120107.csv;place name in France and in Spain, means also the Channel, and sleeve|departement in France
ours;ENGLISH;possessive pronoun;stopwords-forbidden-FR-20111013.csv;bear
est;FRENCH;;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means east|a person from Estonia
ist;GERMAN;is;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items, different other significations
oder;GERMAN;or;stopwords-forbidden-GE-20120107.csv;river
hier;DUTCH|GERMAN;here|here;stopwords-forbidden-FR-20111013.csv;yesterday
durante;SPANISH;during;stopwords-forbidden-PT-20110831.csv;during, while
eus;FRENCH;;stopwords-forbidden-FR-20111013.csv;place name in France
nun;GERMAN;now;stopwords-forbidden-GE-20120107.csv;river
nur;GERMAN;only;stopwords-forbidden-GE-20120107.csv;river
fosse;PORTUGUESE;;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means pit or grave|a surname
ohne;GERMAN;without;stopwords-forbidden-GE-20120107.csv;city in Germany
ihrer;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
era;PORTUGUESE|SPANISH|SWEDISH;||your;stopwords-forbidden-SW-20111107.csv;an era (time)
ihren;GERMAN;;stopwords-forbidden-GE-20120107.csv;city in Germany
ander;GERMAN;other;stopwords-forbidden-SW-20111107.csv|stopwords-forbidden-GE-20120107.csv;a name|Surname
not;ENGLISH;;stopwords-forbidden-SW-20111107.csv;note
nos;FRENCH|PORTUGUESE|SPANISH;our (pl)|em + os, us|us;stopwords-forbidden-SW-20111107.csv;snout
noch;GERMAN;still, yet;stopwords-forbidden-GE-20120107.csv;river, etc.
jene;GERMAN;that;stopwords-forbidden-GE-20120107.csv;Surname
viel;GERMAN;much;stopwords-forbidden-GE-20120107.csv;Surname
aber;GERMAN;but;stopwords-forbidden-GE-20120107.csv;Surname
würde;GERMAN;would;stopwords-forbidden-GE-20120107.csv;dignity
once;ENGLISH;;stopwords-forbidden-FR-20111013.csv;unit of measurement (ounce) and sort of panther
sie;GERMAN;they, she;stopwords-forbidden-GE-20120107.csv;Surname
weg;GERMAN;away, off;stopwords-forbidden-GE-20120107.csv;Different nouns (way, method, channel etc.)
mich;GERMAN;me;stopwords-forbidden-GE-20120107.csv;Name
sans;FRENCH;without;stopwords-forbidden-SW-20111107.csv;sense
cette;FRENCH;this;stopwords-forbidden-FR-20111013.csv;ancient name of Sète, place name
eine;GERMAN;;stopwords-forbidden-GE-20120107.csv;River in Germany
wir;GERMAN;we;stopwords-forbidden-GE-20120107.csv;Abbreviation for different items
wie;DUTCH|GERMAN;who|how;stopwords-forbidden-GE-20120107.csv;Surname
sen;FINNISH;it;stopwords-forbidden-SW-20111107.csv;late
sou;PORTUGUESE;;stopwords-forbidden-FR-20111013.csv;means money (approximatively)
son;FRENCH|SPANISH;his, her (masc)|;stopwords-forbidden-FR-20111013.csv|stopwords-forbidden-SW-20111107.csv;means also a part of the cereal|son
hatten;GERMAN;had;stopwords-forbidden-GE-20120107.csv;city in Germany
kon;DUTCH;could, past tense of 'to be able';stopwords-forbidden-SW-20111107.csv;The cow
etwas;GERMAN;something;stopwords-forbidden-GE-20120107.csv;Different groups etc.
sobre;SPANISH;on;stopwords-forbidden-PT-20110831.csv;on, over
was;DUTCH|ENGLISH|GERMAN;(1) was, past tense of all persons sing. of 'zijn' (to be) (2) wax, (3) the washing, (4) rise of river|1st person, past|what;stopwords-forbidden-GE-20120107.csv;Surname, Abbreviation for different items
estive;PORTUGUESE;;stopwords-forbidden-FR-20111013.csv;means summer pasture
quelle;FRENCH;which;stopwords-forbidden-GE-20120107.csv;Fountain, source, origin
tegen;DUTCH;against, towards, at;stopwords-forbidden-SW-20111107.csv;The field
ante;SPANISH;before;stopwords-forbidden-PT-20110831.csv;before
wieder;GERMAN;again;stopwords-forbidden-GE-20120107.csv;Surname
weil;GERMAN;because;stopwords-forbidden-GE-20120107.csv;Surname
welche;GERMAN;which;stopwords-forbidden-GE-20120107.csv;Dialekt im Elsass
allen;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
allem;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
alles;DUTCH|GERMAN;all, everything, anything|;stopwords-forbidden-GE-20120107.csv;Surname
aller;GERMAN;;stopwords-forbidden-GE-20120107.csv;River in Germany
desde;SPANISH;from;stopwords-forbidden-PT-20110831.csv;from
zur;GERMAN;zu + der;stopwords-forbidden-GE-20120107.csv;Surname
meiner;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
meinen;GERMAN;;stopwords-forbidden-GE-20120107.csv;Surname
tak;POLISH;;stopwords-forbidden-SW-20111107.csv;roof
